Title,Desc_of_movies,IMDB_ID
Bewitched ," Isabel Bigelow seems to be the perfect Samantha to star in a remake of the 1960s sitcom ""Bewitched"" -- but no one knows she really is a witch!",57733
Beynelmilel ," When a local musician and his band are forced to perform in honor of a right-wing coup, his daughter schemes to make their music subversive instead.",893507
Beyond All Boundaries ,"As the 2011 Cricket World Cup begins, three Indians demonstrate their passion and the sacrifices they've made for the country's most popular sport.",1448751
Beyond Scared Straight ,Troubled teens get a dose of prison life by interacting with hardened inmates who try to intervene before the wayward kids land in jail themselves.,1707374
Beyond Skyline ,"In the wake of an extraterrestrial invasion, a suspended L.A. cop teams up with survivors to stop the onslaught and rescue human captives.",1724970
Beyond the Boundary: ICC Women's T20 World Cup Australia 2020 ,"With highlights from the 2020 tourney, this program offers an inside look at the global showcase for women's cricket -- the ICC Women's T20 World Cup.",No ID found
Beyond the Clouds ,A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.,3224288
Beyond the Lights ,"Exhausted by the demands of the music business, a rising pop star tries to end her life but is saved by a police officer who later becomes her lover.",3125324
Bhagam Bhag ,"A theater group lands in trouble when its new actress takes her own life, two of its members are framed for murder and no one is who they appear to be.",805184
Bhai: Vyakti Ki Valli - Poorvardha ,This first of a two-part biopic depicts the early years that lay the foundation for beloved Marathi writer and comedian P.L. Deshpande's iconic career.,9319890
Bhai: Vyakti Ki Valli - Uttarardh ,"The second installment of P.L. Deshpande's biopic explores the Marathi humorist's political journey, philanthropic endeavors and personal life.",9319890
Bhaji In Problem ,Married to two women - each unaware of the other - a man finds his double life threatened when an old friend who knows his not-so-little secret arrives.,2879770
Bhangra Paa Le ,"Determined to bring traditional bhangra to the world stage, a dancer preps for an international competition against a rival with dreams of her own.",9766280
Bhasmasur ,"In this heart-wrenching coming-of-age story, a young boy embarks on an arduous trek with his debt-ridden father to sell their beloved family donkey.",6381074
Bhavesh Joshi Superhero ,"When his best friend is killed for uncovering political corruption, an idealistic young man decides to become a masked fighter for justice.",6129302
Bheemayan ,"It's Diwali! To celebrate, Chhota Bheem and his friends put on a stage show of the Ramayana, re-enacting the epic story behind the festival of lights.",No ID found
Bheeshma ,"Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.",11199356
Bhoot ,"After a couple moves into an apartment, the wife's increasingly disturbing behavior unravels chilling secrets about their new home's past.",No ID found
Bhouri ,A 23-year-old girl who's married to a man more than twice her age is forced to contend with the predatory nature of a male-dominated society.,5978194
Bibi & Tina ,Teen witch Bibi and horse-loving Tina face trouble when a posh girl flirts with Tina's boyfriend and a crook sets his greedy eyes on a promising foal.,3202200
Bibi & Tina II ,"When robbers hit Falkenstein castle, teen witch Bibi and pal Tina hunt for the crooks, then devise a plan to save the neighbors' failing ranch.",4008866
Bibi & Tina: Girls Versus Boys (Bibi & Tina: Mädchen gegen Jungs) ,"At summer camp, young Bibi and her friends are pitted against the boys in a treasure hunt. But what's a witch to do when she loses her powers?",4997398
Bibi & Tina: Tohuwabohu Total ,Teen witch Bibi and her pal Tina return to the screen to reconcile a runaway girl with her narrow-minded family and save Falkenstein Castle from chaos.,5950646
Bibik-Bibikku ,"When a busy mother and father realize they need help with their two young children, they hire a series of maids, often with humorous results.",No ID found
Big Bad Beetleborgs ,"When three teens free a spirit that offers to grant each a wish, they choose to become their favorite superheroes, launching a series of adventures.",115674
Big Daddy ,"Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he&#39;s a grownup.",142342
The Big Family Cooking Showdown ," In this unscripted series, families passionate about food serve up their most delicious dishes for the chance to be crowned Britain's best home cooks.",7518558
The Big Flower Fight ,"Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures.",12200714
Big Kill ,A tenderfoot and two gamblers seeking their fortunes in a boom town instead find themselves defending it from a gunslinging preacher and his gang.,7730102
The Big Lebowski ," Slacker Jeff ""The Dude"" Lebowski gets involved in a gargantuan mess of events when he's mistaken for another man named Lebowski.",118715
Big Mouth , Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.,6524350
The Big Short , A group of wily opportunists make a fortune off of the U.S. economic crash by sniffing out the situation in advance and betting against the banks.,1596363
The Big Show Show ,Former WWE wrestler the Big Show is out of the ring and ready for an even tougher challenge: raising three daughters with his wife in Florida.,10726356
Bigflo & Oli: Hip Hop Frenzy ,"Go backstage with French rap duo Bigflo & Oli in this intimate music documentary, then join the superstar siblings as they embark on a major tour.",13161318
The Biggest Little Farm ,"Inspired by their pet dog, a Los Angeles couple raises the money to start an eight-year adventure of triumph and heartbreak in biodiverse farming.",8969332
"Bikram: Yogi, Guru, Predator ",This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.,10883004
Bill Burr: I'm Sorry You Feel That Way ,"Bill Burr escapes the zombie apocalypse, explores how rom-coms ruin great sex and explains how too many childhood hugs may be the downfall of man.",3823690
Bill Burr: Paper Tiger ,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London.",10847306
Bill Burr: Walk Your Way Out ,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language.",6184894
Bill Burr: You People Are All the Same ," Funnyman Bill Burr takes the stage to uncork a profanity-laced, incisive routine that pokes fun at plastic surgery, reality TV, gold diggers and more.",2290153
Bill Hicks: One Night Stand ,"Bill Hicks remembers a wild night in 1989 and offers his views on puffing cigarettes, smoking weed, drinking, sex, commercials and music.",148554
Bill Hicks: Reflections ,"This documentary about comedian Bill Hicks offers insight into his irreverent takes on, well, everything. Brother Steve Hicks is the star witness.",4558532
Bill Hicks: Relentless ,"In one of his most iconic performances, late comedian Bill Hicks demonstrates what made him such a singular talent and a force to be reckoned with.",148668
Bill Hicks: Revelations ," In his final recorded special, the iconoclastic comedian channels Goat Boy and tackles provocative topics like British porn, pot and the priesthood.",152183
Bill Hicks: Sane Man ," Filmed in 1989 at a turning point in comedian Bill Hicks's career, this rare onstage performance captures him spouting off on a variety of topics.",287337
The Bill Murray Stories: Life Lessons Learned From a Mythical Man ,"This documentary highlights spontaneous encounters with the elusive, comedic veteran, who touches lives by simply showing up anywhere.",7329810
Bill Nye: Science Guy ,"The dynamic, bow-tied host behind the young adult science show faces climate-change skeptics as he demonstrates the importance of scientific evidence.",No ID found
Billu ,"An Indian village is abuzz with news that a major movie star is coming to town -- even more so because the town barber went to school with him. But as the day of the actor's visit approaches, the humble barber begins to worry he won't be recognized.",1230448
Billy Elliot ," When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",249462
Billy Lynn's Long Halftime Walk ,A soldier whose unit gained acclaim for their fearless actions comes home on leave from Iraq and wrestles with the events that led to his recent fame.,2513074
Billy Madison ," Billy Madison stands to inherit a fortune when his father retires. But before that happens, Billy has to go back to school -- all the way back.",112508
Bilu Rakkhosh (Bilu: A Demon Within) ,"Torn between his demanding corporate career, his passion for music and his turbulent family life, a man struggles to keep his inner demons in check.",5940384
The Binding (Il legame) ,"While visiting her fiancé's mother in southern Italy, a woman must fight the mysterious and malevolent curse intent on claiming her daughter.",10914452
Bir Baba Hindu , A Istanbul mobster falls for an Indian yoga instructor whose abduction takes him on a wild rescue mission to Mumbai.,5608972
Bird Box ,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",2737304
Birders ,Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species.,10907798
Birdshot ,"A sheltered farm girl inadvertently shoots an endangered Philippine eagle, setting off a police investigation that exposes violence and corruption.",No ID found
The Birth Reborn 3 (O Renascimento do Parto 3) ,"This intimate look at a São Paulo birth center features interviews with mothers, activists, doctors and midwives. Third in a series of films.",2974412
The Birth Reborn (O Renascimento do Parto) ,Mothers and medical professionals speak about their experiences with the increasingly controversial practice of Caesarean deliveries in Brazil.,2974412
The Birth Reborn (O Renascimento do Parto 2) ,"Featuring experts in their fields and raw and moving footage, this documentary makes a case for increased autonomy in women's choices for childbirth.",2974412
Bittersweet (Assal Eswed) ,"After 20 years abroad, a photographer returns to his birth country of Egypt and gets stranded without identification in a now unfamiliar culture.",2210441
The Bittersweet ,"As a killer stalks the streets, a troubled young courier suspects that a doctor may be the long-lost sister he hasn't seen since childhood.",8411990
Bittoo Boss ," When a small-town wedding videographer falls in love, he decides he needs to make more money and turns to shooting sexy videos -- with mixed results.",2347289
Black ,"A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime.",No ID found
The Black Godfather ,"This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",10289996
Black Hawk Down ," When U.S. forces attempt to capture two underlings of a Somali warlord, their helicopters are shot down and the Americans suffer heavy casualties.",265086
Black Man White Skin ,This film chronicles the health and social problems that African albinos face and details the fight waged on their behalf by advocacy groups in Spain.,9853686
Black Mirror: Bandersnatch ,"In 1984, a young programmer begins to question reality as he adapts a dark fantasy novel into a video game. A mind-bending tale with multiple endings.",9495224
The Black Prince ,"After being exiled to England as a child, a Punjabi prince struggles to return to his homeland and his Sikh faith in this historical drama.",No ID found
Black Snake Moan ,"Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.",462200
Black Snow ,An old tragedy and lingering animosity erupt when a man returns to Patagonia to convince his estranged brother to sell the family's isolated property.,5614612
Black Venus ,"In 1810, Saartjie Baartman, an African slave of unique proportions, left her home to work in European freak shows, yet maintained her dignity.",1401643
#blackAF ,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series.",No ID found
BlacKkKlansman ,The first black detective of the Colorado Springs Police Department teams up with a Jewish colleague to infiltrate a group of white supremacists.,7349662
BLACKPINK: Light Up the Sky ,Record-shattering Korean girl band BLACKPINK tell their story -- and detail the hard-fought journey of the dreams and trials behind their meteoric rise.,13058290
Blade Runner: The Final Cut ,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",No ID found
Blades of Glory ,"When a scandal strips them of their medals, two figure skaters get back in action through a loophole that allows them to compete as a pairs team.",445934
Blair Witch ,"After finding footage of his long-missing sister, James Donahue heads into the woods to find her, accompanied by friends and a documentary filmmaker.",1540011
BLAME! ,"Inside a vast, self-replicating city bent on eliminating all life, mysterious loner Killy emerges to guide a remnant of humanity desperate to survive.",6574146
The Blazing Sun (Struggle in the Valley) ,Competition between sugar cane producers turns deadly after a greedy landlord conspires against an agricultural engineer who falls for his daughter.,44429
Bleach ,"When high schooler Ichigo is suddenly given reaper abilities, he really wants to give the powers back. But he'll have to reap some souls first.",No ID found
Bleach The Movie: Fade to Black ," When his mind is fogged by a scimitar-weilding stranger, Mayuri destroys his laboratory, unleashing a cloud of reishi that lays waste to the Seiretei.",1339302
Bleach the Movie: Hell Verse ," When a group of vicious Sinners plots to escape from this eternal prison in Hell, they discover that Substitute Soul Reaper Ichigo is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister.",1785394
Bleed for This ,"After a devastating injury derails his career, scrappy world champion boxer Vinny Pazienza determines to make an against-all-odds comeback.",1620935
The Bleeding Edge ,This eye-opening look at the fast-growing medical device industry reveals how the rush to innovate can lead to devastating consequences for patients.,8106576
Bleeding Steel ,"A Hong Kong police inspector tries to protect a bio-scientist and his invention from falling into the hands of a deranged, genetically enhanced villain.",5813366
Blessed Benefit ,"After being wrongfully convicted of fraud, an honest man finds that life in prison comes with a measure of freedom that is unavailable outside.",5161784
The Blind Christ ,A man claiming he had a divine revelation as a child treks across the Chilean desert to perform a miracle on a friend badly injured in a remote town.,4778424
The Blind Side ,"In this sports drama based on a true story, an affluent couple takes in a homeless teenager and nurtures his growth into a football powerhouse.",878804
The Bling Lagosians ,"With a matriarch bent on having a lavish 51st birthday party, her family's debt is on the verge of exposure, threatening their business -- and legacy.",10410186
Blitz Patrollie ,"Caught between family pressures and small-time crime-fighting, a pair of bumbling cops tries to bust a massive drug deal and go down in history.",2336284
Blockbuster ,"Dumped over a video he made to amuse his ailing dad, a heartsick Jérémy hatches an elaborate scheme to win back his superhero-loving girlfriend, Lola.",No ID found
Blockers ,"After discovering their teenage daughters' pact to have sex on prom night, a trio of parents embarks on a fiery, beer-filled mission to stop them.",2531344
Blood Money ," Ambitious Kunal takes a job in the diamond business, but his life is thrown into turmoil when he's drawn into the seedy underworld of his new career.",3758852
Bloodline ,"When a caring counselor becomes a newly sleep-deprived father, he moonlights as a violent serial killer who targets his students' tormentors.",3520702
The Blue Elephant 2 ,"When a former criminal psychiatrist discovers that a patient holds a secret that threatens his family, he must resort to extreme measures to save them.",10515086
Blue Iguana ,"Hapless ex-cons are recruited to travel from Brooklyn to London, where they try to steal a priceless gem that's also sought by a psychotic crime lord.",2316479
Blue Jay ,"Two former high school sweethearts unexpectedly reunite in their old hometown, where they rediscover their magical bond and face a shared regret.",No ID found
The Blue Lagoon ,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise.",80453
Blue Streak , A jewel thief returns to his hiding place after a stint in jail -- only to find that his booty is buried under a newly constructed police station.,181316
The Blue Umbrella ,"A charming allegory based on a novella by Ruskin Bond, this visually stunning film from India explores themes of greed, loneliness, longing and loss.",2616880
Blumhouse's Truth or Dare: Extended Director's Cut ,"In this more intense version of the Blumhouse thriller, a group of college friends on spring break play a game of Truth or Dare that turns deadly.",6772950
BNK48: Girls Don't Cry ,"Members of the Thai idol girl group BNK48 open up about their experiences beyond the spotlight, their training and the nature of fame.",8730152
Bo Burnham: Make Happy ,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special.",5192124
Bo Burnham: what. , Left brain and right brain duke it out -- and ultimately belt out a melody -- in stand-up comedian Bo Burnham's quick and clever one-man show.,3210258
Bob Lazar: Area 51 & Flying Saucers ,"Decades ago, Bob Lazar blew the whistle on Area 51. Now he's back to explain the alien tech he worked with, and the government's war to shut him up.",9107368
Bob's Broken Sleigh ,"An overly eager elf improves Santa&#39;s sleigh, but when he crash lands far from home, three odd critters pitch in to send him back to the North Pole.",5236758
Bobby Robson: More Than a Manager ,"Explore the life and times of legendary soccer manager Bobby Robson, whose keen mind for the game was matched only by his devotion to his teams.",6864864
The Body ,Mind games and mystery abound as a detective investigates the disappearance of a woman's body from a morgue in this Hindi remake of a Spanish thriller.,8130904
Bogda ,An aspiring dancer accompanies her terminally ill mother on one last road trip that alternately strains and strengthens their knotty relationship.,No ID found
Boi ,A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.,No ID found
BoJack Horseman ," Meet the most beloved sitcom horse of the '90s, 20 years later. He's a curmudgeon with a heart of...not quite gold...but something like gold. Copper?",3398228
BoJack Horseman Christmas Special: Sabrina's Christmas Wish ,"It&#39;s Christmas, and BoJack wants nothing to do with it. Then Todd shows up with a giant candy cane and an old &#39;Horsin&#39; Around&#39; Christmas episode.",No ID found
Bollywood Calling ,A down-and-out Hollywood actor is utterly unprepared for the eccentricities that await when an Indian producer offers him a role in a Bollywood film.,303733
Bomb Scared (Fe de etarras) ,"In this dark comedy, a dysfunctional group of wannabe Basque terrorists awaits word about a new mission while Spain makes a run at the World Cup title.",6895746
Bombairiya ,"A PR agent trying to find her stolen phone, a politician in trouble, and a fading celebrity find their lives intertwining in unexpected, messy ways.",4971258
Bombay Talkies ," A gay man deals with his sexuality, a struggling actor has an epiphany, a boy becomes a dancer, and a man tries to fulfill his father's dying wish.",2797242
The Bombing (Air Strike) ,"Amid World War II, a U.S. fighter trains Chinese aviators to help Chongqing defend itself against brutal Japanese air raids.",4743226
Bombshell ,"In 1985, when a vessel protesting nuclear testing is sunk in New Zealand, local police fight to prove it was a terrorist plot by their French allies.",6394270
Bon Bini Holland ,"On the island of Curau00E7ao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme.",4247144
Bon Cop Bad Cop 2 ,"Two veteran buddy cops are back for a second chapter, this time to tackle a car theft ring that turns out to be much more than they bargained for.",4738174
"Bon Cop, Bad Cop ",An English-speaking officer from Toronto and a French-speaking cop from Montreal are forced to work together to solve a crime.,479647
Boo 2! A Madea Halloween ,"When teenage Tiffany heads to a frat party at a lake, her great-aunt Madea must tag along and protect her from all sorts of horrifying characters.",6217804
Boo! A Madea Halloween ,"When a vigilant father asks Aunt Madea to keep his daughter from attending a Halloween frat party, she winds up in a freakishly funny scare fest.",5325452
Boogie Nights ,A well-endowed busboy is taken in by a tight-knit group of 1970s porn actors and transforms himself into skin flick celebrity Dirk Diggler.,118749
The Book of Sun (Shams Alma'arif) ,"A high school senior sets out to make a no-budget horror film with his friend, one-time rival and teacher, but the project soon jeopardizes their future.",11833648
The Boondock Saints II: All Saints Day ,"Framed for the murder of a priest, two wanted vigilante brothers must come out of hiding on a sheep farm in Ireland to fight for justice in Boston.",1300851
Borderline , A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.,No ID found
Born Beautiful ,"After her best friend dies, Barbs attempts to rediscover herself until love leaves her true identity -- and heart -- in question.",9364848
Born in Gaza (Nacido en Gaza) ,This documentary focuses on the devastating violence of the Israel-Palestine conflict and its effects on the children of Gaza.,4205416
Born in Syria (Nacido en Siria) ,This intimate documentary follows a group of Syrian children refugees who narrowly escape a life of torment and integrate into a foreign land.,5356680
Born on the Fourth of July ," Paralyzed from the chest down, U.S. Marine Ron Kovic returns home from Vietnam and finds renewed purpose protesting the war he once proudly fought.",96969
Born to Be Free ,"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years.",6619064
Boss ," Disowned by his father as a boy, Surya is taken in by a crime boss. When his brother Shiv is wrongly imprisoned, his father pleads for Surya's help.",No ID found
The Boss's Daughter ,"While working together, a married textile foreman and his boss's daughter have a torrid love affair, stirring up hostility among the factory crew.",4040042
Bosta ,"After 15 years in France, Kamal returns to his native Beirut and reassembles his dance crew, striving to modernize traditional Dabke routines.",497335
Bottom of the World ," En route to a fresh start in Los Angeles, young couple Alex and Scarlett stop over in a sleepy Southwestern town that loosens their grip on reality.",2337841
The Bounty Hunter ,"Bounty hunter Milo Boyd finds his latest assignment downright satisfying as he learns that the bail-jumper he must chase down is his ex-wife, Nicole.",1038919
The Bourne Identity ," Wounded and suffering from amnesia, Jason Bourne starts to reconstruct his life but finds that many people he encounters want him dead.",258463
The Bourne Legacy ," Following the Jason Bourne debacle, the CIA finds itself dealing with a familiar threat when another estranged operative surfaces.",1194173
The Bourne Supremacy ," Flushed from his refuge by an assassin, Jason Bourne finds himself thrust into secret alliances, setups and shootouts in this riveting sequel.",372183
The Bourne Ultimatum ," In this third Jason Bourne film, the trained assassin travels the globe on a quest to reconstruct his past -- and thus clear the way for his future.",440963
Boushkash ,A former goalkeeper-turned-talent scout embarks on a mischievous adventure to recruit players for Egyptian football clubs.,1272034
The Boy Who Harnessed the Wind ,"Inspired by a science book, 13-year-old William Kamkwamba builds a wind turbine to save his Malawian village from famine. Based on a true story.",7533152
The Boy ,A nanny is hired by a couple to look after their boy. She's shocked to learn that her charge is actually a doll that the couple treats like a human.,3882082
The Boys in the Band ,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",No ID found
The Boys in the Band: Something Personal ,"Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy.",13206842
Boyz n the Hood ," A South Central Los Angeles high schooler struggles to please his father and to stay straight in a community polluted by drugs, violence and racism.",101507
Brad Paisley's Comedy Rodeo ,"Country music star Brad Paisley hosts a night of music and laughs with comics Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana and Mike E. Winfield.",6794448
Brahman Naman ,This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything -- except how to talk to women.,5240748
Brain on Fire ,"Stricken with seizures, psychosis and memory loss, a young New York Post reporter visits doctor after doctor in search of an elusive diagnosis.",3704700
Bram Stoker's Dracula ," When Dracula heads to London in search of a woman who looks like his long-dead wife, vampire hunter Dr. Van Helsing sets out to end the madness.",103874
Brave Blue World: Racing to Solve Our Water Crisis ,"From reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water.",11921004
The Brave ,"With entry into the European Union at stake, Albania must rely on a mash-up of elite cops to take down a slippery drug lord dominating its economy.",6461736
Braveheart ," Scottish warrior William Wallace slays a local English lord's soldiers, which leads to an epic revolt.",112573
The Brawler ,"Newly famous after challenging Muhammad Ali for a championship title, boxer Chuck Wepner spirals down the slippery slope of being a celebrity.",5471472
The Breaker Upperers ,"For the right price, BFFs Jen and Mel will ruthlessly end any romance. But when one of them grows a conscience, their friendship begins to unravel.",6728096
Breakfast at Tiffany's ," Fortune hunter Holly Golightly finds herself captivated by aspiring writer Paul Varjak, who moves into her building on a wealthy woman's dime.",54698
Breaking Free ,One filmmaker's quest to expose the human rights violations faced by India's LGBTQ community was a project of passion seven years in the making.,No ID found
Breaking In ,"At her late father's highly secure estate, a mother's getaway with her children turns into a dangerous rescue mission when threats invade their home.",7137846
Breakout ,"After losing her family in a suspicious car crash, a woman awakens from a 13-year coma determined to expose the truth about the long-ago tragedy.",No ID found
The Breakup Playlist ,A rock musician and a law student whose true passion is music fall in love and pursue a romance that complicates both of their blossoming careers.,4628812
Breathe ," After being paralyzed by polio at age 28, Robin Cavendish refuses to be immobile and with his loyal wife, Diana, becomes an advocate for the disabled.",5716464
Brené Brown: The Call to Courage ,"With humor and empathy, Brené Brown discusses what it takes to choose courage over comfort in a culture defined by scarcity, fear and uncertainty.",10050766
Brews Brothers ,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos.",10930958
Brian Regan: Nunchucks and Flamethrowers ,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places.",7679532
Bride For Rent ,"Rocco needs to hire a bride so he can access his trust fund. Rocky desperately needs a job. Their marriage starts out fake, but ends up as much more.",3469386
The Bridge Curse ,A group of university students decides to test an urban legend about the ghost of a female student that haunts a campus bridge.,11242242
The Bridge ,A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.,2406376
Bridget Christie: Stand Up for Her ,"Performing stand-up for a packed house in London's Hoxton Hall, comedian Bridget Christie dives into the politics of gender, sex and equality.",7309512
Bridget Jones's Diary ,This clever tale of Bridget Jones's odyssey from Mr. Right-here-right-now to Mr. Right delivers a glimpse into the inner workings of the female mind.,243155
Bright ,"In an LA rife with interspecies tensions, a human cop and his orc partner stumble on a powerful object and become embroiled in a prophesied turf war.",5519340
Bright: The Music Videos ,"Explore the hit songs from the Will Smith film ""Bright"" in these music videos from Machine Gun Kelly, Bastille, Logic, Migos and friends.",6739348
Brij Mohan Amar Rahe (Long Live Brij Mohan) ,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,6514010
Bring It On , Pressure mounts on the captain of a decorated cheerleading squad as she attempts to lead her crew to its sixth consecutive national title.,204946
Bring It On Again ," Rejected by the college cheerleading team, a band of girls decide to form their own squad in this entertaining sequel to the original hit.",334965
Bring it On: All or Nothing , Cheer captain Britney plans to have her squad earn a coveted spot in singing sensation Rihanna's video but must think fast when her plan is derailed.,490822
Bring It On: Fight to the Finish ," After her mom gets remarried, Lina adjusts to life in affluent Malibu, where the new girl pledges to whip her school's cheerleading squad into shape.",1349482
Bring It On: In It to Win It ," Carson sets out to guide her squad to victory and takes on a competitive rival in a one-on-one battle, as they both fight for one guy's affection.",972785
Broadcasting Christmas ,"When two newscasters with a romantic past compete for the same job on a TV morning show, sparks start to fly both on and off the air.",6167116
Broken City ," After private detective Billy Taggart informs the mayor of New York that his wife is having an affair, the woman's lover turns up dead.",1235522
The Bronx Bull ,A young Jake LaMotta fights his way through a troubled childhood in the Bronx to become a legendary boxing champion with an explosive temper.,1148205
Brooklyn Nine-Nine , Brilliant but immature Brooklyn detective Jake Peralta must learn to follow the rules and be a team player when his squad gets an exacting new captain.,2467372
Brooklyn's Finest ,"Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller.",1210042
The Bros ,"Reunited in their hometown for their father's funeral, two self-interested brothers meet a peculiar woman who shares a huge secret about their family.",7967580
Brother (Mon frère) ,"Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",9095526
Brother in Love (Aykut Eniste) ,"A robbery leaves a proprietor penniless before his wedding, but becoming a son-in-law to a second family might be the financial solution he needs.",10320050
Brother's Shadow ,"After serving time in jail, a disgraced son returns to the family business in New York, where he struggles to fill the shoes of his late twin brother.",468458
Brotherhood of Blades II: The Infernal Battlefield ,"While tracking down a seditious painter, an imperial guard is accused of a royal assassination attempt and framed in a complicated conspiracy.",7055592
Brothers ,"After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament.",765010
The Brothers Grimsby (Grimsby) ,"When a smooth MI6 assassin embarks on a dangerous mission that reunites him with his happy, numbskull  brother, they must team up to save the world.",3381008
Brown Nation ,An Indian American man living with his artistic wife and contentious father-in-law struggles to handle his household and a foundering IT company.,3787402
Bucket List ,"After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor.",825232
Budapest ,"Two best friends put their careers and marriages on the line when they launch a business hosting outrageous, anything-goes bachelor parties in Hungary.",No ID found
Buddies ," Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together.",No ID found
Budhia Singh: Born to Run ," In this thought-provoking biopic, an idealistic judo trainer adopts a boy from the slums and grooms him into the world's youngest marathon runner.",5805252
Buffalo Boys ,Two Indonesian brothers learn the ways of the American cowboy before returning home to avenge the murder of their father.,6917210
Buffaloed ,"Determined to flee her humdrum hometown of Buffalo, New York, clever hustler Peg joins some shady characters in the seedy business of debt collection.",8647310
Bugsy ,"Gangster Bugsy Siegel builds a gambling mecca in the middle of the Nevada desert, but his affair with a screen siren would ultimately bring him down.",101516
Bulbbul ,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.",12393526
Bulbul Can Sing ,"Exploring their sexual identities in the face of the patriarchal rules of their Assamese village, a teenager and her two friends are rocked by tragedy.",8659050
The Bulbul's Nest ,"A taxi driver longs to be a pop singer, but the road to stardom is wrought with competition and struggle until he befriends a helpful belly dancer.",No ID found
Bumblebee ,"Fleeing from the Decepticons in 1987, Bumblebee hides out on Earth. But after he befriends a sad teen, the battered Beetle's foes are hot on his trail.",No ID found
Bumping Mics with Jeff Ross & Dave Attell ,"When Jeff Ross and Dave Attell take the stage, no one is safe. With the help of special guests, they're packing a lot of laughs into one epic weekend.",9203078
The Bund (Shang Hai tan xu ji) ," After losing everything, a young man rebuilds his life and finds love in 1920s Shanghai -- all while rising to power in an organized crime syndicate.",86299
The Burial of Kojo ,"When a man is left to die inside an illegal gold mine, his daughter travels through a magical landscape to save him.",7497366
Burlesque ,"After leaving Iowa with stars in her eyes, Ali arrives at a Los Angeles burlesque lounge with dreams of taking the stage with her soaring voice.",1126591
Burn Out ,"When his son's mom runs afoul of Paris's criminal underworld, a thrill-seeking superbike racer begins moonlighting as a drug courier to clear her debt.",No ID found
Burning ,An aspiring writer goes to the airport to pick up a high school friend returning from a trip to Africa but is disheartened to see her with another man.,7282468
Burning Cane ,"A small-town Louisiana minister and one of his parishioners cope with grief, alcoholism and a crisis of faith in this dramatic character study.",7358154
